,Wavelength,Algorithm,r2,slope,rmse,mape,mrd
0,443.0,Rrs_S2_acolite,0.3883880569870072,-2.730146078312302,0.008823969483437204,2085.124882405979,20.60666918283566
1,443.0,Rrs_S2_c2rcX,0.04072931985966307,-0.3421414307157513,0.002928104223177019,585.9178247287043,5.328289467725465
2,443.0,Rrs_S2_c2rcc,0.0020878765830118014,-0.03285659915266808,0.0016543491755391293,327.3544029732325,2.3565138877432443
3,443.0,Rrs_S2_polymer,0.05860879860253219,-6.2225646716186285,0.038832628090316255,5006.81850963311,49.986627930571856
4,492.0,Rrs_S2_acolite,0.009730681413918694,0.4067572215261358,0.006636623603916329,114.19390406652361,0.897334094575507
5,492.0,Rrs_S2_c2rcX,0.050602369075416986,0.7733037651309681,0.004514411400961898,84.2603390284466,-0.20448132286632328
6,492.0,Rrs_S2_c2rcc,4.008509969905941e-05,0.006739690555816825,0.003512467626161957,61.62183157879829,-0.5644445411583049
7,492.0,Rrs_S2_polymer,0.0016310391824045061,0.6431807584556438,0.022960844547303356,230.94796852254413,2.2681182826460438
8,560.0,Rrs_S2_acolite,0.5719203995834891,1.5501083351808123,0.008224927090407879,55.90676339571994,0.40873796469192186
9,560.0,Rrs_S2_c2rcX,0.21695587702738475,0.9897226890246514,0.00942531336848272,74.08883798403889,-0.463738344997074
10,560.0,Rrs_S2_c2rcc,0.10646994383188164,0.30262144517219125,0.009711875469140777,69.92037325108141,-0.6992037325108141
11,560.0,Rrs_S2_polymer,0.32146137193229257,1.2781946324739921,0.00898902336351153,45.23765920913173,0.3384647345620247
12,665.0,Rrs_S2_acolite,0.268421118752049,1.1149335180195623,0.005783223108876036,58.36840901758691,0.3138382991316612
13,665.0,Rrs_S2_c2rcX,0.20176657795673114,0.861080345177799,0.0059373029614544146,72.50163370376028,-0.5062564131550431
14,665.0,Rrs_S2_c2rcc,0.10593497966357623,0.28975057969455575,0.00648993451987941,74.82367170195936,-0.7482367170195935
15,665.0,Rrs_S2_polymer,0.3067128394734533,0.40532260296253997,0.0061109982609341635,72.2730333320809,-0.7227303333208089
16,704.0,Rrs_S2_acolite,0.27626821867157003,1.3291177352607269,0.010884124600910877,107.62055117126137,0.9505979419975492
17,704.0,Rrs_S2_c2rcX,0.18961564174894344,0.6399600550184674,0.006742746904756043,72.53691150114902,-0.5323533293529601
18,704.0,Rrs_S2_c2rcc,0.0017201649122798358,0.023315315597297676,0.00832770787232476,79.90799407178571,-0.7990799407178572
19,704.0,Rrs_S2_polymer,0.449324016615487,0.7967262552812565,0.006409507956934525,66.51335002404592,-0.6651335002404591
20,740.0,Rrs_S2_acolite,0.0004271285524817333,0.1516318814828665,0.022835824476153132,591.6355272536035,5.916355272536035
21,740.0,Rrs_S2_c2rcX,0.07826494861297617,0.2686813458506272,0.0035208922587923585,79.48159413541065,-0.5715058280042729
22,740.0,Rrs_S2_c2rcc,0.015329509427429396,-0.03843128936707984,0.004178994747626709,83.28359269320448,-0.8328359269320448
23,740.0,Rrs_S2_polymer,0.627284857803215,0.5422789168543954,0.002130619523564717,41.70442036274322,-0.32208568400629517
24,783.0,Rrs_S2_acolite,0.0001521858188756941,0.11863448513175867,0.028751865486170352,1021.4602991642914,10.214602991642915
25,783.0,Rrs_S2_c2rcX,0.06819325295042515,0.2688887964691104,0.0031062569078694527,85.87354204118843,-0.45021753843449247
26,783.0,Rrs_S2_c2rcc,0.03757871896691745,-0.06473793950819899,0.003628124563983462,78.34437975914517,-0.7834437975914518
27,783.0,Rrs_S2_polymer,0.4851516311418453,0.6322048125040687,0.0016419789179387186,49.31093983046212,0.036556141340681594
28,833.0,Rrs_S2_acolite,0.02902205086229486,1.2082305665332882,0.023610753924995072,786.3336535789964,7.863336535789964
29,833.0,Rrs_S2_c2rcX,,,,,
30,833.0,Rrs_S2_c2rcc,,,,,
31,833.0,Rrs_S2_polymer,0.4379030647537889,0.9828745233406937,0.003623718050868691,88.53846231095768,-0.8239098377888245
32,865.0,Rrs_S2_acolite,0.003404875771834439,-0.8300370940965818,0.03058547837429346,1246.9593119092422,12.469593119092423
33,865.0,Rrs_S2_c2rcX,0.2037120223839472,0.25608849809490664,0.002418160090594337,79.24436909972088,-0.7259609092919029
34,865.0,Rrs_S2_c2rcc,0.027477794027181333,-0.029169639260646946,0.0029530416414959805,89.42691300102894,-0.8942691300102894
35,865.0,Rrs_S2_polymer,0.039946600350799034,0.18395984363864576,0.003911134710843465,126.66078259879323,-1.2666078259879323
