[header]
Calibrated DALEC Transect File
DALECproc v6.0
Device: DALEC
DALEC serial number: 0005
Ed spectrometer module: SN099065
Lu spectrometer module: SN114810
Lsky spectrometer module: SN099059
DTF File Creation Date:Wed Jun 22 16:00:24 2022 UTC
Data Source: C:\Users\daa5\OneDrive - University of Stirling\Documents\DALEC_Doc\logFiles\TESTLOG_20220622.log
Calibration File: C:\Users\daa5\OneDrive - University of Stirling\Documents\DALEC_Doc\DALEC_SN0005\Cal\DALEC0005_2019_10_16.cal
Channel Ed units: W/m^2/nm
Channel Lu units: W/m^2/sr/nm
Channel Lsky units: W/m^2/sr/nm
[Spectrometer Wavelengths (nm)]
Pixel #,          Ed,          Lu,        Lsky
    115,        687.24,        688.62,        691.64
    116,        690.58,        691.96,        695.02
    117,        693.92,        695.30,        698.39
    118,        697.27,        698.63,        701.76
    119,        700.61,        701.97,        705.13
    120,        703.95,        705.30,        708.50
    121,        707.29,        708.63,        711.87
    122,        710.63,        711.97,        715.24
    123,        713.97,        715.30,        718.61
    124,        717.31,        718.63,        721.98
    125,        720.65,        721.96,        725.35
    126,        723.99,        725.29,        728.71
    127,        727.33,        728.62,        732.08
    128,        730.67,        731.95,        735.44
    129,        734.01,        735.27,        738.81
    130,        737.34,        738.60,        742.17
    131,        740.68,        741.92,        745.53
    132,        744.01,        745.25,        748.90
    133,        747.35,        748.57,        752.26
    134,        750.68,        751.89,        755.62
    135,        754.01,        755.22,        758.98
    136,        757.35,        758.54,        762.34
    137,        760.68,        761.86,        765.69
    138,        764.01,        765.17,        769.05
    139,        767.34,        768.49,        772.41
    140,        770.67,        771.81,        775.76
    141,        774.00,        775.12,        779.12
    142,        777.33,        778.44,        782.47
    143,        780.65,        781.75,        785.82
    144,        783.98,        785.06,        789.18
    145,        787.31,        788.38,        792.53
    146,        790.63,        791.69,        795.88
    147,        793.96,        795.00,        799.23
    148,        797.28,        798.30,        802.57
    149,        800.60,        801.61,        805.92
    150,        803.92,        804.92,        809.27
    151,        807.24,        808.22,        812.61
    152,        810.56,        811.53,        815.96
    153,        813.88,        814.83,        819.30
    154,        817.20,        818.13,        822.64
    155,        820.52,        821.43,        825.98
    156,        823.84,        824.73,        829.32
    157,        827.15,        828.03,        832.66
    158,        830.47,        831.32,        836.00
    159,        833.78,        834.62,        839.34
    160,        837.09,        837.91,        842.67
    161,        840.40,        841.21,        846.01
    162,        843.71,        844.50,        849.34
